date,weekday,is_trading_day,reason,name
2021-10-31,Sunday,false,weekend,주말
2021-11-06,Saturday,false,weekend,주말
2021-11-07,Sunday,false,weekend,주말
2021-11-13,Saturday,false,weekend,주말
2021-11-14,Sunday,false,weekend,주말
2021-11-20,Saturday,false,weekend,주말
2021-11-21,Sunday,false,weekend,주말
2021-11-27,Saturday,false,weekend,주말
2021-11-28,Sunday,false,weekend,주말
2021-12-04,Saturday,false,weekend,주말
2021-12-05,Sunday,false,weekend,주말
2021-12-11,Saturday,false,weekend,주말
2021-12-12,Sunday,false,weekend,주말
2021-12-18,Saturday,false,weekend,주말
2021-12-19,Sunday,false,weekend,주말
2021-12-25,Saturday,false,weekend,주말
2021-12-26,Sunday,false,weekend,주말
2021-12-31,Friday,false,holiday,연말 증시 휴장일
2022-01-01,Saturday,false,weekend,주말
2022-01-02,Sunday,false,weekend,주말
2022-01-08,Saturday,false,weekend,주말
2022-01-09,Sunday,false,weekend,주말
2022-01-15,Saturday,false,weekend,주말
2022-01-16,Sunday,false,weekend,주말
2022-01-22,Saturday,false,weekend,주말
2022-01-23,Sunday,false,weekend,주말
2022-01-29,Saturday,false,weekend,주말
2022-01-30,Sunday,false,weekend,주말
2022-01-31,Monday,false,holiday,설날
2022-02-01,Tuesday,false,holiday,설날
2022-02-02,Wednesday,false,holiday,설날
2022-02-05,Saturday,false,weekend,주말
2022-02-06,Sunday,false,weekend,주말
2022-02-12,Saturday,false,weekend,주말
2022-02-13,Sunday,false,weekend,주말
2022-02-19,Saturday,false,weekend,주말
2022-02-20,Sunday,false,weekend,주말
2022-02-26,Saturday,false,weekend,주말
2022-02-27,Sunday,false,weekend,주말
2022-03-01,Tuesday,false,holiday,3·1절
2022-03-05,Saturday,false,weekend,주말
2022-03-06,Sunday,false,weekend,주말
2022-03-09,Wednesday,false,holiday,제20대 대통령 선거일
2022-03-12,Saturday,false,weekend,주말
2022-03-13,Sunday,false,weekend,주말
2022-03-19,Saturday,false,weekend,주말
2022-03-20,Sunday,false,weekend,주말
2022-03-26,Saturday,false,weekend,주말
2022-03-27,Sunday,false,weekend,주말
2022-04-02,Saturday,false,weekend,주말
2022-04-03,Sunday,false,weekend,주말
2022-04-09,Saturday,false,weekend,주말
2022-04-10,Sunday,false,weekend,주말
2022-04-16,Saturday,false,weekend,주말
2022-04-17,Sunday,false,weekend,주말
2022-04-23,Saturday,false,weekend,주말
2022-04-24,Sunday,false,weekend,주말
2022-04-30,Saturday,false,weekend,주말
2022-05-01,Sunday,false,weekend,주말
2022-05-05,Thursday,false,holiday,어린이날
2022-05-07,Saturday,false,weekend,주말
2022-05-08,Sunday,false,weekend,주말
2022-05-14,Saturday,false,weekend,주말
2022-05-15,Sunday,false,weekend,주말
2022-05-21,Saturday,false,weekend,주말
2022-05-22,Sunday,false,weekend,주말
2022-05-28,Saturday,false,weekend,주말
2022-05-29,Sunday,false,weekend,주말
2022-06-01,Wednesday,false,holiday,제8회 지방선거일
2022-06-04,Saturday,false,weekend,주말
2022-06-05,Sunday,false,weekend,주말
2022-06-06,Monday,false,holiday,현충일
2022-06-11,Saturday,false,weekend,주말
2022-06-12,Sunday,false,weekend,주말
2022-06-18,Saturday,false,weekend,주말
2022-06-19,Sunday,false,weekend,주말
2022-06-25,Saturday,false,weekend,주말
2022-06-26,Sunday,false,weekend,주말
2022-07-02,Saturday,false,weekend,주말
2022-07-03,Sunday,false,weekend,주말
2022-07-09,Saturday,false,weekend,주말
2022-07-10,Sunday,false,weekend,주말
2022-07-16,Saturday,false,weekend,주말
2022-07-17,Sunday,false,weekend,주말
2022-07-23,Saturday,false,weekend,주말
2022-07-24,Sunday,false,weekend,주말
2022-07-30,Saturday,false,weekend,주말
2022-07-31,Sunday,false,weekend,주말
2022-08-06,Saturday,false,weekend,주말
2022-08-07,Sunday,false,weekend,주말
2022-08-13,Saturday,false,weekend,주말
2022-08-14,Sunday,false,weekend,주말
2022-08-15,Monday,false,holiday,광복절
2022-08-20,Saturday,false,weekend,주말
2022-08-21,Sunday,false,weekend,주말
2022-08-27,Saturday,false,weekend,주말
2022-08-28,Sunday,false,weekend,주말
2022-09-03,Saturday,false,weekend,주말
2022-09-04,Sunday,false,weekend,주말
2022-09-09,Friday,false,holiday,추석
2022-09-10,Saturday,false,weekend,주말
2022-09-11,Sunday,false,weekend,주말
2022-09-12,Monday,false,holiday,추석
2022-09-17,Saturday,false,weekend,주말
2022-09-18,Sunday,false,weekend,주말
2022-09-24,Saturday,false,weekend,주말
2022-09-25,Sunday,false,weekend,주말
2022-10-01,Saturday,false,weekend,주말
